date,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,PG,TRV,UNH,VZ,V,WBA,WMT
2024-06-15,212.24718,179.4562,318.2777,44.31063,152.8454,430.7046,338.44885,200.96255,161.90056,29.8619,146.11926,62.774708,186.78467,257.41702,101.211105,123.452286,426.84686,161.68256,205.37378,493.27286,40.21308,254.03223,14.872402,63.68429
2024-06-16,211.38725,178.88564,315.6417,43.012833,153.20634,413.7138,335.2989,197.536,155.54665,29.3423,146.58717,63.00167,181.75505,259.52625,101.1472,117.750854,415.711,156.6722,204.91252,492.1915,40.587032,247.90164,14.464621,60.136593
2024-06-17,210.5994,178.66194,313.20062,41.72789,153.56906,398.0986,331.63272,193.86989,149.90218,28.832726,147.14136,63.269188,176.43181,261.74777,101.121315,113.162315,404.4499,152.1766,204.53694,490.79788,41.00044,241.84053,14.029382,56.991295
2024-06-18,210.0502,178.50708,310.80057,40.46363,153.88316,384.92465,328.14697,190.40868,145.05429,28.337349,147.71481,63.558823,171.23615,263.84668,101.112015,109.49398,393.92404,148.28201,204.19286,489.36478,41.414513,236.33298,13.594767,54.287685
2024-06-19,209.78448,178.35547,308.37466,39.24452,154.13525,374.00882,325.03333,187.28357,140.93575,27.854546,148.27423,63.85124,166.40324,265.7678,101.1187,106.61936,384.61838,145.0072,203.8466,487.98526,41.817715,231.4735,13.162831,52.014927
2024-06-20,209.77562,178.18575,305.9024,38.082924,154.331,364.8093,322.32843,184.51859,137.38387,27.379614,148.80016,64.13383,162.06094,267.51877,101.1412,104.36362,376.66638,142.27112,203.47968,486.6914,42.207035,227.21674,12.734591,50.09569
2024-06-21,209.9614,177.99126,303.385,36.985287,154.48297,356.7689,319.99966,182.08815,134.23009,26.907375,149.28386,64.39961,158.25754,269.13498,101.178116,102.55959,369.9901,139.96315,203.08495,485.4907,42.58386,223.4808,12.310521,48.441254
2024-06-22,210.27113,177.77238,300.83035,35.95461,154.60397,349.46063,317.98016,179.94029,131.33803,26.433416,149.72467,64.64587,154.98126,270.6618,101.22725,101.06858,364.3873,137.97693,202.66304,484.37793,42.95165,220.17613,11.890719,46.976173
2024-06-23,210.6424,177.53278,298.24576,34.99162,154.70412,342.61517,316.1918,178.01167,128.61319,25.954464,150.12749,64.87278,152.1795,272.14273,101.28608,99.78517,359.60242,136.22438,202.21893,483.3417,43.31443,217.21727,11.474979,45.646152
2024-06-24,211.02904,177.27728,295.63562,34.095295,154.79028,336.0933,314.55936,176.2383,125.99861,25.4683,150.50032,65.0824,149.77579,273.61343,101.35214,98.634544,355.38004,134.63892,201.75935,482.36896,43.675888,214.52866,11.062857,44.416813
